"(PDH-CSV 4.0) (GMT Daylight Time)(-60)","\\WILLS-DESKTOP\Memory\Available MBytes"
"04/24/2018 11:00:08.371","26578"
"04/24/2018 11:00:13.384","26543"
"04/24/2018 11:00:18.407","26516"
"04/24/2018 11:00:28.902","26455"
"04/24/2018 11:00:33.384","26389"
"04/24/2018 11:00:38.375","26382"
"04/24/2018 11:00:43.380","26359"
"04/24/2018 11:00:53.375","26302"
"04/24/2018 11:00:58.378","26268"
"04/24/2018 11:01:03.373","26243"
"04/24/2018 11:01:08.375","26210"
"04/24/2018 11:01:18.380","26152"
"04/24/2018 11:01:23.384","26122"
"04/24/2018 11:01:28.385","26094"
"04/24/2018 11:01:33.373","26065"
"04/24/2018 11:01:38.374","26035"
"04/24/2018 11:01:43.379","26006"
"04/24/2018 11:01:48.384","26005"
"04/24/2018 11:01:59.152","26134"
"04/24/2018 11:02:03.382","26107"
"04/24/2018 11:02:08.371","26081"
"04/24/2018 11:02:13.374","26049"
"04/24/2018 11:02:18.379","26022"
"04/24/2018 11:02:23.383","25991"
"04/24/2018 11:02:28.378","25969"
"04/24/2018 11:02:38.340","25909"
"04/24/2018 11:02:38.382","25909"
"04/24/2018 11:02:43.381","25871"
"04/24/2018 11:02:48.385","25841"
"04/24/2018 11:02:53.386","25813"
"04/24/2018 11:02:58.374","25843"
"04/24/2018 11:03:03.385","26080"
"04/24/2018 11:03:08.377","26066"
"04/24/2018 11:03:13.384","26064"
"04/24/2018 11:03:18.385","26045"
"04/24/2018 11:03:23.377","26046"
"04/24/2018 11:03:28.381","26054"
"04/24/2018 11:03:33.380","27671"
"04/24/2018 11:03:38.385","27045"
"04/24/2018 11:03:48.788","25862"
"04/24/2018 11:03:53.379","25837"
"04/24/2018 11:03:58.373","25806"
"04/24/2018 11:04:03.378","25778"
"04/24/2018 11:04:08.385","25745"
"04/24/2018 11:04:13.383","25717"
"04/24/2018 11:04:23.370","25667"
"04/24/2018 11:04:28.384","25636"
"04/24/2018 11:04:33.370","25605"
"04/24/2018 11:04:38.378","25575"
"04/24/2018 11:04:43.375","25545"
"04/24/2018 11:04:48.404","25516"
"04/24/2018 11:04:59.059","25457"
"04/24/2018 11:05:03.375","25429"
"04/24/2018 11:05:08.373","25400"
"04/24/2018 11:05:13.385","25364"
"04/24/2018 11:05:18.382","25332"
"04/24/2018 11:05:28.746","25269"
"04/24/2018 11:05:33.383","25241"
"04/24/2018 11:05:38.372","25211"
"04/24/2018 11:05:43.385","25180"
"04/24/2018 11:05:48.381","25149"
"04/24/2018 11:05:53.380","25117"
"04/24/2018 11:06:03.371","25053"
"04/24/2018 11:06:08.383","25023"
"04/24/2018 11:06:13.380","24992"
"04/24/2018 11:06:18.382","24961"
"04/24/2018 11:06:23.380","24930"
"04/24/2018 11:06:34.059","24862"
"04/24/2018 11:06:38.372","24835"
"04/24/2018 11:06:43.385","24804"
"04/24/2018 11:06:48.376","24773"
"04/24/2018 11:06:53.373","24744"
"04/24/2018 11:06:58.384","24713"
"04/24/2018 11:07:08.371","24907"
"04/24/2018 11:07:13.371","24433"
"04/24/2018 11:07:18.376","24548"
"04/24/2018 11:07:23.376","24527"
"04/24/2018 11:07:28.382","24499"
"04/24/2018 11:07:33.382","24470"
"04/24/2018 11:07:38.382","24441"
"04/24/2018 11:07:48.871","24370"
"04/24/2018 11:07:53.378","24343"
"04/24/2018 11:07:58.378","24310"
"04/24/2018 11:08:03.378","24280"
"04/24/2018 11:08:08.383","24248"
"04/24/2018 11:08:13.373","24216"
"04/24/2018 11:08:18.378","24185"
"04/24/2018 11:08:23.386","24152"
"04/24/2018 11:08:33.996","24083"
"04/24/2018 11:08:38.375","24055"
"04/24/2018 11:08:43.380","24023"
"04/24/2018 11:08:48.379","23991"
"04/24/2018 11:08:53.383","23959"
"04/24/2018 11:08:58.383","23927"
"04/24/2018 11:09:03.372","23895"
"04/24/2018 11:09:08.372","23865"
"04/24/2018 11:09:19.121","23797"
"04/24/2018 11:09:23.375","23772"
