"(PDH-CSV 4.0) (GMT Standard Time)(0)","\\WILLS-DESKTOP\Memory\Available MBytes"
"03/06/2018 17:20:42.504","28458"
"03/06/2018 17:20:47.505","28462"
"03/06/2018 17:20:52.511","28462"
"03/06/2018 17:20:57.511","28462"
"03/06/2018 17:21:02.515","28466"
"03/06/2018 17:21:07.515","28239"
"03/06/2018 17:21:12.515","28133"
"03/06/2018 17:21:17.516","28143"
"03/06/2018 17:21:22.512","28137"
"03/06/2018 17:21:27.512","28157"
"03/06/2018 17:21:32.503","28281"
"03/06/2018 17:21:37.507","28319"
"03/06/2018 17:21:42.506","28317"
"03/06/2018 17:21:47.504","28319"
"03/06/2018 17:21:52.508","28319"
"03/06/2018 17:21:57.507","28318"
"03/06/2018 17:22:02.515","28320"
"03/06/2018 17:22:07.516","28323"
"03/06/2018 17:22:12.504","28325"
"03/06/2018 17:22:17.513","28310"
"03/06/2018 17:22:22.503","28316"
"03/06/2018 17:22:27.511","28321"
"03/06/2018 17:22:32.505","28322"
"03/06/2018 17:22:37.507","28319"
"03/06/2018 17:22:42.506","28323"
"03/06/2018 17:22:47.503","28323"
"03/06/2018 17:22:52.503","28322"
